"full_sha","short_sha","date","author","message","parents","changed_file_count","added_line_count","deleted_line_count","main_affected_areas","classification","significance","deep_review_required","related_recovered_decision"
"a38032daad66750cab47541b9b5715680afe14f5","a38032d","2026-06-28T21:42:44+03:00","Darhous <ahmeddarhous@gmail.com>","fix: hydration error, admin redirect, README update","0232c884d11fa92b756686d52c72e029e1c70e18","3","40","11","admin-dashboard; commerce; documentation","Bug fix","High or medium","YES","TBD"
"0232c884d11fa92b756686d52c72e029e1c70e18","0232c88","2026-06-28T20:55:02+03:00","Darhous <ahmeddarhous@gmail.com>","feat(ux): Phase 3 Premium Polish — Reviews, Search hints, FAQ, Sticky checkout, Footer","616613b6ffbd20a6642cd045d84f087227c0bbbf","7","474","19","commerce; src; storefront/ui","Feature","High or medium","YES","TBD"
"616613b6ffbd20a6642cd045d84f087227c0bbbf","616613b","2026-06-28T20:44:27+03:00","Darhous <ahmeddarhous@gmail.com>","feat(ux): Phase 2 — Cart Drawer, Trust Section, Categories Strip, Wishlist Heart","03f2e4807730a6b10fc7a51b6fdda73de19cddc0","8","488","11","commerce; src; storefront/ui","Feature","High or medium","YES","TBD"
"03f2e4807730a6b10fc7a51b6fdda73de19cddc0","03f2e48","2026-06-28T20:32:59+03:00","Darhous <ahmeddarhous@gmail.com>","fix(ux): Phase 1 Quick Wins — admin hidden, quality labels unified, hero CTA, lazy images","ed7ea8087a713a91f7369313861d4875f7655fb9","8","18","30","commerce; src; storefront/ui","Bug fix","High or medium","YES","TBD"
"ed7ea8087a713a91f7369313861d4875f7655fb9","ed7ea80","2026-06-28T14:23:18+03:00","Darhous <ahmeddarhous@gmail.com>","docs: enrich guide with screen mockups, fix variants section, update README","c3e55b57a6c3430990ef739e2c9598068ea69399","2","384","32","documentation","Documentation","High or medium","YES","TBD"
"c3e55b57a6c3430990ef739e2c9598068ea69399","c3e55b5","2026-06-28T14:15:50+03:00","Darhous <ahmeddarhous@gmail.com>","fix: hydration warning, chunk auto-reload, intro 4500ms, split filters","cb5a6fdc35e3dad0a8600a3c575845311f226fc1","4","22","11","commerce; src; storefront/ui","Bug fix","High or medium","YES","TBD"
"cb5a6fdc35e3dad0a8600a3c575845311f226fc1","cb5a6fd","2026-06-28T13:55:03+03:00","Darhous <ahmeddarhous@gmail.com>","fix: LoadingIntro CSS fallback + force-dynamic homepage","ef049ce19baf998e0f70964860688bad8a586159","2","13","2","storefront/ui","Bug fix","High or medium","YES","TBD"
"ef049ce19baf998e0f70964860688bad8a586159","ef049ce","2026-06-28T13:06:35+03:00","Darhous <ahmeddarhous@gmail.com>","feat: variants admin, mobile nav, flash deals, loading fix, WA dynamic","d2112738d8559bae5c9a32c027be542ef1cd8029","10","420","19","admin-dashboard; commerce; documentation; src; storefront/ui","Admin dashboard","High or medium","YES","TBD"
"d2112738d8559bae5c9a32c027be542ef1cd8029","d211273","2026-06-28T12:36:25+03:00","Darhous <ahmeddarhous@gmail.com>","feat: flash deals section, error page, code cleanup, guide update","6d969716247b29b31ab41013a842e5d458ba2c91","8","518","80","admin-dashboard; documentation; src; storefront/ui","Feature","High or medium","YES","TBD"
"6d969716247b29b31ab41013a842e5d458ba2c91","6d96971","2026-06-28T12:14:13+03:00","Darhous <ahmeddarhous@gmail.com>","feat: banners carousel, announcement bar, sitemap, 404, scroll-to-top, low-stock badges, product variants","3ffe14b3949e79c337f8aa383cee54340bf54c3b","12","488","28","commerce; src; storefront/ui","Feature","High or medium","YES","TBD"
"3ffe14b3949e79c337f8aa383cee54340bf54c3b","3ffe14b","2026-06-28T04:12:51+03:00","Darhous <ahmeddarhous@gmail.com>","feat: comprehensive user guide at /guide (print-to-PDF)","1b96eae25cafe92475fd732faaa5bc4fe75e7e6f","2","1249","478","documentation; src","Feature","High or medium","YES","TBD"
"1b96eae25cafe92475fd732faaa5bc4fe75e7e6f","1b96eae","2026-06-28T03:54:12+03:00","Darhous <ahmeddarhous@gmail.com>","feat: catalog page, hero words admin control, designer icons, longer intro","55ff3358702b1be077a985c3c12772fe175b72ae","7","704","122","admin-dashboard; documentation; src; storefront/ui","Admin dashboard","High or medium","YES","TBD"
"55ff3358702b1be077a985c3c12772fe175b72ae","55ff335","2026-06-28T03:38:37+03:00","Darhous <ahmeddarhous@gmail.com>","feat: dynamic OG image via next/og ImageResponse","58fd4c8993175804e27eb55548f8f9d40eaa130f","1","200","0","src","Feature","Low","NO","TBD"
"58fd4c8993175804e27eb55548f8f9d40eaa130f","58fd4c8","2026-06-28T03:23:03+03:00","Darhous <ahmeddarhous@gmail.com>","feat: Phase B/C/D — search, wishlist, filters, slider, recently viewed, banners, PWA, OG","b9de18962e73f789ccfb9da265212af5e3c32c70","15","852","92","admin-dashboard; commerce; src; storefront/ui","Feature","High or medium","YES","TBD"
"b9de18962e73f789ccfb9da265212af5e3c32c70","b9de189","2026-06-28T00:55:09+03:00","Darhous <ahmeddarhous@gmail.com>","feat: Phase A — hero redesign, /track, /sale, WA notifications","371ccaefbe9cc1e243ac33ddf34543698712eb5c","9","619","110","admin-dashboard; commerce; src; storefront/ui","Feature","High or medium","YES","TBD"
"371ccaefbe9cc1e243ac33ddf34543698712eb5c","371ccae","2026-06-28T00:30:36+03:00","Darhous <ahmeddarhous@gmail.com>","feat: revenue chart, admin roles management, about page fix","81737b3613aff0111369b23eab06298e1ccd9bc0","8","502","52","admin-dashboard; authentication; src","Authentication","High or medium","YES","TBD"
"81737b3613aff0111369b23eab06298e1ccd9bc0","81737b3","2026-06-28T00:20:09+03:00","Darhous <ahmeddarhous@gmail.com>","feat: discount codes system + shipping inline edit","95cdd16775fbec9057e1443d14b78b1f49471cb4","9","637","44","admin-dashboard; commerce; src","Feature","High or medium","YES","TBD"
"95cdd16775fbec9057e1443d14b78b1f49471cb4","95cdd16","2026-06-27T23:59:47+03:00","Darhous <ahmeddarhous@gmail.com>","feat: reviews, about, policy pages, admin reviews management","14fb1de96e41815224692d0da765d0a20d6ce380","12","838","0","admin-dashboard; commerce; src; storefront/ui","Admin dashboard","High or medium","YES","TBD"
"14fb1de96e41815224692d0da765d0a20d6ce380","14fb1de","2026-06-27T23:50:07+03:00","Darhous <ahmeddarhous@gmail.com>","feat: admin order detail, floating WA, SEO, share, related products","17facfd7f3651f89a9c309a58d542743d2723a04","7","429","115","admin-dashboard; commerce; storefront/ui","Admin dashboard","High or medium","YES","TBD"
"17facfd7f3651f89a9c309a58d542743d2723a04","17facfd","2026-06-27T23:35:10+03:00","Darhous <ahmeddarhous@gmail.com>","feat: full cart system, footer redesign, random slug","554de677db19918189a5aedf90b6b6ebd5a2fbe8","10","930","109","admin-dashboard; commerce; src; storefront/ui","Feature","High or medium","YES","TBD"
"554de677db19918189a5aedf90b6b6ebd5a2fbe8","554de67","2026-06-27T23:05:24+03:00","Darhous <ahmeddarhous@gmail.com>","feat: product pages, image manager, header, footer, social links","4bacb0892978e08ae361785d5af25db5dd1ea49a","10","1108","153","admin-dashboard; commerce; database/supabase; storefront/ui","Feature","High or medium","YES","TBD"
"4bacb0892978e08ae361785d5af25db5dd1ea49a","4bacb08","2026-06-27T22:39:18+03:00","Darhous <ahmeddarhous@gmail.com>","feat: migrate store frontend from Framer to Next.js on Vercel","600aa1f4f05da1379a3117ab23ad9b5cffafcbfe","4","673","5","commerce; src; storefront/ui","Feature","High or medium","YES","TBD"
"600aa1f4f05da1379a3117ab23ad9b5cffafcbfe","600aa1f","2026-06-27T17:57:47+03:00","Darhous <ahmeddarhous@gmail.com>","feat: redirect root to Framer store + public products API","05e5e2df5b1881832efacf77af50e0010ccf6cca","2","62","1","commerce; storefront/ui","Feature","High or medium","YES","TBD"
"05e5e2df5b1881832efacf77af50e0010ccf6cca","05e5e2d","2026-06-27T17:37:52+03:00","Darhous <ahmeddarhous@gmail.com>","chore: remove one-time setup endpoint","b8b7a2ed1d9389f5aa3354402a1fad5eea775278","2","261","58","documentation; src","Refactor","High or medium","YES","TBD"
"b8b7a2ed1d9389f5aa3354402a1fad5eea775278","b8b7a2e","2026-06-27T17:32:28+03:00","Darhous <ahmeddarhous@gmail.com>","chore: add one-time setup endpoint for admin user creation","668931e6655f8e4daa14f184eb3ff04cf2dcfcba","1","58","0","src","Admin dashboard","High or medium","YES","TBD"
"668931e6655f8e4daa14f184eb3ff04cf2dcfcba","668931e","2026-06-27T17:21:17+03:00","Darhous <ahmeddarhous@gmail.com>","chore: trigger Vercel redeploy with latest code","a5581d32ab6ededf2a6a3c96e32ca0e7a7919190","0","0","0","","Refactor","Low","NO","TBD"
"a5581d32ab6ededf2a6a3c96e32ca0e7a7919190","a5581d3","2026-06-27T16:04:33+03:00","Darhous <ahmeddarhous@gmail.com>","feat: complete Phase 2 admin panel for ShahY Store","f838d2406cf1d5911ba808c4e2cddcb9d00f1322","167","4802","11248","admin-dashboard; authentication; commerce; database/supabase; deployment/config; package-lock.json; package.json; src; storefront/ui","Admin dashboard","High or medium","YES","TBD"
"f838d2406cf1d5911ba808c4e2cddcb9d00f1322","f838d24","2026-06-27T13:48:36+03:00","Darhous <ahmeddarhous@gmail.com>","chore: bootstrap ShahY Store from ecommerce base template","","0","28735","0","","Refactor","Low","NO","TBD"
